Id,Label,timeset,comment,indegree,outdegree,Degree
0.0.13-Marp-linux-x64.tar.gz,0.0.13-Marp-linux-x64.tar.gz,,Archive,1,4,5
0.0.4.tar.gz,0.0.4.tar.gz,,Archive,1,4,5
0.0.51.tar.gz,0.0.51.tar.gz,,Archive,1,4,5
0.1.tar.gz,0.1.tar.gz,,Archive,1,4,5
0.10.10.tar.gz,0.10.10.tar.gz,,Archive,1,4,5
0.12.5.tar.gz,0.12.5.tar.gz,,Archive,3,4,7
0.14.7.tar.gz,0.14.7.tar.gz,,Archive,1,4,5
0.14.9.tar.gz,0.14.9.tar.gz,,Archive,1,4,5
0.17.tar.gz,0.17.tar.gz,,Archive,1,4,5
0.2.1.tar.gz,0.2.1.tar.gz,,Archive,1,4,5
0.2.15.tar.gz,0.2.15.tar.gz,,Archive,2,4,6
0.28-dist.tar.gz,0.28-dist.tar.gz,,Archive,1,4,5
0.3.11.tar.gz,0.3.11.tar.gz,,Archive,1,4,5
0.3.2.tar.gz,0.3.2.tar.gz,,Archive,1,4,5
0.4.0.tar.gz,0.4.0.tar.gz,,Archive,1,4,5
0.4.3.tar.gz,0.4.3.tar.gz,,Archive,1,4,5
0.4.4.tar.gz,0.4.4.tar.gz,,Archive,1,4,5
0.5.0.tar.gz,0.5.0.tar.gz,,Archive,1,4,5
0.5.tar.gz,0.5.tar.gz,,Archive,1,4,5
0.6.0.4.tar.gz,0.6.0.4.tar.gz,,Archive,2,4,6
0.6.16.tar.gz,0.6.16.tar.gz,,Archive,1,4,5
0.7.0.tar.gz,0.7.0.tar.gz,,Archive,2,4,6
0.7.3.tar.gz,0.7.3.tar.gz,,Archive,1,4,5
0.7.tar.gz,0.7.tar.gz,,Archive,1,4,5
0.9.1.tar.gz,0.9.1.tar.gz,,Archive,2,4,6
0.9.7.tar.gz,0.9.7.tar.gz,,Archive,1,4,5
0.9.9.553.tar.gz,0.9.9.553.tar.gz,,Archive,1,4,5
00-support_large_iso.patch,00-support_large_iso.patch,,Patch,1,5,6
0001-Description-Linux-2.6.38-and-later-do-not-support-th.patch,0001-Description-Linux-2.6.38-and-later-do-not-support-th.patch,,Patch,1,5,6
0001-Do-not-assume-fixed-line-lengths-for-proc-acpi-wakeu.patch,0001-Do-not-assume-fixed-line-lengths-for-proc-acpi-wakeu.patch,,Patch,1,5,6
0001-Fix-Python-bindings.patch,0001-Fix-Python-bindings.patch,,Patch,1,5,6
0001-Fix-missing-build-dependency-for-pods.patch,0001-Fix-missing-build-dependency-for-pods.patch,,Patch,3,0,3
0001-Squashed-commit-of-the-following.patch,0001-Squashed-commit-of-the-following.patch,,Patch,1,5,6
0001-Use-64-bit-integers-for-byte-totals-support-bigger-u.patch,0001-Use-64-bit-integers-for-byte-totals-support-bigger-u.patch,,Patch,1,5,6
0001-Use-usb_bulk_-read-write-instead-of-homemade-handler.patch?h=palm-novacom-git,0001-Use-usb_bulk_-read-write-instead-of-homemade-handler.patch?h=palm-novacom-git,,None,1,5,6
0001-add-missing-runtime-dependencies-in-_tags.patch,0001-add-missing-runtime-dependencies-in-_tags.patch,,Patch,1,5,6
0001-build-Add-missing-dependency-to-run-js-test.patch,0001-build-Add-missing-dependency-to-run-js-test.patch,,Patch,1,5,6
0001-dynamically-patchelf-binaries.patch,0001-dynamically-patchelf-binaries.patch,,Patch,1,4,5
0001-fail-logging.patch,0001-fail-logging.patch,,Patch,1,4,5
0001-fix-prototypes.patch,0001-fix-prototypes.patch,,Patch,1,5,6
0001-gnome-scores.h-Convert-to-UTF-8.patch,0001-gnome-scores.h-Convert-to-UTF-8.patch,,Patch,1,5,6
0001-mobile-broadband-provider-info-path.patch,0001-mobile-broadband-provider-info-path.patch,,Patch,1,3,4
0001-remove-glibc-assumption.patch,0001-remove-glibc-assumption.patch,,Patch,1,5,6
0001-src-cpp-fix-cmake-3.11-build.patch,0001-src-cpp-fix-cmake-3.11-build.patch,,Patch,1,5,6
0001-taylor2-Avoid-blowing-the-stack-when-diff-expand-isn.patch?id=07d6c37d18811e2b377a9689790a7c5e24da16ba,0001-taylor2-Avoid-blowing-the-stack-when-diff-expand-isn.patch?id=07d6c37d18811e2b377a9689790a7c5e24da16ba,,None,1,5,6
0001-ustring-Fix-wchar-conversion-on-macOS-with-libc.patch,0001-ustring-Fix-wchar-conversion-on-macOS-with-libc.patch,,Patch,1,5,6
0002-Build-with-evolution-data-server-3.13.90.patch,0002-Build-with-evolution-data-server-3.13.90.patch,,Patch,1,4,5
0002-add-ppx_sexp_conv-as-a-runtime-dependency-in-the-pac.patch,0002-add-ppx_sexp_conv-as-a-runtime-dependency-in-the-pac.patch,,Patch,1,5,6
0002-info-to-debug.patch,0002-info-to-debug.patch,,Patch,1,4,5
0002-openvpn-binary-path.patch,0002-openvpn-binary-path.patch,,Patch,1,3,4
0003-Auto-detect-ppx_sexp_conv-runtime-library.patch,0003-Auto-detect-ppx_sexp_conv-runtime-library.patch,,Patch,1,5,6
0003-CVE-2017-0358.patch,0003-CVE-2017-0358.patch,,Patch,1,5,6
0003-man-page-spelling.patch,0003-man-page-spelling.patch,,Patch,1,4,5
0004-mkchroot.patch,0004-mkchroot.patch,,Patch,1,4,5
0004-pack-package-workaround-ocamlbuild-272.patch,0004-pack-package-workaround-ocamlbuild-272.patch,,Patch,1,5,6
0005-Manage-powf64-with-glibc.patch,0005-Manage-powf64-with-glibc.patch,,Patch,1,4,5
0005-mkchroot-arch.patch,0005-mkchroot-arch.patch,,Patch,1,4,5
0006-fix-format-strings.patch,0006-fix-format-strings.patch,,Patch,1,5,6
0006-mkchroot-symlink.patch,0006-mkchroot-symlink.patch,,Patch,1,4,5
0007-destdir.patch,0007-destdir.patch,,Patch,1,4,5
0007-gtk2-When-X11-input-grabbing-fails-try-again-over-0..patch,0007-gtk2-When-X11-input-grabbing-fails-try-again-over-0..patch,,Patch,1,5,6
0008-rsync-protocol.patch,0008-rsync-protocol.patch,,Patch,1,4,5
0011-Remove-verbose-output.patch,0011-Remove-verbose-output.patch,,Patch,1,5,6
0016-pppoe-include-netinet-in.h-before-linux-in.h.patch,0016-pppoe-include-netinet-in.h-before-linux-in.h.patch,,Patch,1,4,5
002-skip-docs.patch,002-skip-docs.patch,,Patch,1,5,6
003-guile2.0.patch,003-guile2.0.patch,,Patch,1,5,6
01-fix-heap-buffer-overflow-cve-2018-1000097.patch,01-fix-heap-buffer-overflow-cve-2018-1000097.patch,,Patch,1,4,5
010-qt-5.11.patch,010-qt-5.11.patch,,Patch,1,5,6
